division,district,upazila,post_office,postal_code,source_url,source_district_label_bn,source_upazila,resolution_type
Dhaka,Dhaka,Mohammadpur,Mohammadpur Housing Estate TSO,1207,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Mohammadpur,exact
Dhaka,Dhaka,Motijheel,Dhaka GPO,1000,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Motijheel,exact
Dhaka,Dhaka,Motijheel,Dilkusha TSO,1223,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Motijheel,exact
Dhaka,Dhaka,Mugda,,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Nawabganj,Agla,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Nawabgonj,safe_candidate
Dhaka,Dhaka,Nawabganj,Agla EDSO,1323,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Nawabgonj,safe_candidate
Dhaka,Dhaka,Nawabganj,Aona,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Nawabgonj,safe_candidate
Dhaka,Dhaka,Nawabganj,Bardhanpara,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Nawabgonj,safe_candidate
Dhaka,Dhaka,Nawabganj,Braha,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Nawabgonj,safe_candidate
Dhaka,Dhaka,Nawabganj,Choto Box Nagar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Nawabgonj,safe_candidate
Dhaka,Dhaka,Nawabganj,Churan So,1325,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Nawabgonj,safe_candidate
Dhaka,Dhaka,Nawabganj,Dakkhin Balukhondo,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Nawabgonj,safe_candidate
Dhaka,Dhaka,Nawabganj,Daudpur So,1322,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Nawabgonj,safe_candidate
